src,dst,time
359,1109,timestamp1
264,643,timestamp1
1030,925,timestamp1
1281,602,timestamp1
359,866,timestamp1
169,644,timestamp1
1030,1277,timestamp1
1281,634,timestamp1
359,282,timestamp1
55,645,timestamp1
1030,841,timestamp1
1281,1132,timestamp1
359,408,timestamp1
31,646,timestamp1
1030,303,timestamp1
1281,1021,timestamp1
359,1069,timestamp1
14,646,timestamp1
1030,1266,timestamp1
1281,481,timestamp1
359,636,timestamp1
307,647,timestamp1
1030,290,timestamp1
1281,540,timestamp1
359,1157,timestamp1
90,648,timestamp1
1030,691,timestamp1
1281,1258,timestamp1
359,220,timestamp1
45,649,timestamp1
1030,291,timestamp1
1281,294,timestamp1
359,375,timestamp1
20,650,timestamp1
1030,850,timestamp1
1281,1133,timestamp1
359,494,timestamp1
47,651,timestamp1
1030,1007,timestamp1
299,1282,timestamp1
359,555,timestamp1
79,651,timestamp1
1030,1185,timestamp1
14,1283,timestamp1
359,139,timestamp1
14,652,timestamp1
1030,293,timestamp1
31,1283,timestamp1
359,612,timestamp1
20,653,timestamp1
1030,1193,timestamp1
1284,1276,timestamp1
359,958,timestamp1
76,653,timestamp1
1030,1074,timestamp1
20,1285,timestamp1
359,1368,timestamp1
45,654,timestamp1
1030,1391,timestamp1
76,1285,timestamp1
359,978,timestamp1
66,655,timestamp1
1030,532,timestamp1
79,1286,timestamp1
359,1362,timestamp1
299,656,timestamp1
1030,1154,timestamp1
20,1287,timestamp1
359,495,timestamp1
55,657,timestamp1
1030,1122,timestamp1
76,1288,timestamp1
359,126,timestamp1
11,658,timestamp1
1030,968,timestamp1
20,1288,timestamp1
359,347,timestamp1
60,659,timestamp1
1030,828,timestamp1
2,1289,timestamp1
359,1382,timestamp1
299,660,timestamp1
1030,1073,timestamp1
130,1290,timestamp1
359,278,timestamp1
2,661,timestamp1
1030,152,timestamp1
23,1291,timestamp1
359,1283,timestamp1
23,662,timestamp1
1030,1393,timestamp1
130,1292,timestamp1
359,1208,timestamp1
96,663,timestamp1
1030,1259,timestamp1
66,1293,timestamp1
359,357,timestamp1
79,663,timestamp1
1030,1350,timestamp1
123,1293,timestamp1
359,99,timestamp1
2,664,timestamp1
1030,935,timestamp1
66,1294,timestamp1
359,1340,timestamp1
60,665,timestamp1
1030,30,timestamp1
20,1295,timestamp1
359,678,timestamp1
20,666,timestamp1
1030,54,timestamp1
20,1296,timestamp1
359,163,timestamp1
62,667,timestamp1
1030,388,timestamp1
17,1296,timestamp1
359,793,timestamp1
14,668,timestamp1
1030,1169,timestamp1
96,1297,timestamp1
359,263,timestamp1
6,669,timestamp1
1030,437,timestamp1
79,1297,timestamp1
359,486,timestamp1
169,670,timestamp1
1030,1100,timestamp1
31,1298,timestamp1
359,447,timestamp1
96,671,timestamp1
1030,915,timestamp1
58,1299,timestamp1
359,1006,timestamp1
66,672,timestamp1
1030,1320,timestamp1
2,1300,timestamp1
359,134,timestamp1
123,672,timestamp1
1030,1338,timestamp1
66,1301,timestamp1
359,689,timestamp1
62,673,timestamp1
1030,921,timestamp1
20,1302,timestamp1
359,619,timestamp1
66,674,timestamp1
1030,896,timestamp1
70,1303,timestamp1
359,182,timestamp1
72,675,timestamp1
1030,15,timestamp1
70,1304,timestamp1
18,359,timestamp1
11,676,timestamp1
1030,460,timestamp1
85,1304,timestamp1
1,359,timestamp1
20,677,timestamp1
1030,153,timestamp1
130,1304,timestamp1
79,360,timestamp1
76,677,timestamp1
1030,1119,timestamp1
66,1305,timestamp1
76,361,timestamp1
55,677,timestamp1
1030,1345,timestamp1
76,1306,timestamp1
20,361,timestamp1
17,677,timestamp1
1030,859,timestamp1
17,1306,timestamp1
307,362,timestamp1
20,678,timestamp1
1030,443,timestamp1
20,1306,timestamp1
20,363,timestamp1
20,679,timestamp1
1030,1331,timestamp1
60,1307,timestamp1
6,364,timestamp1
33,680,timestamp1
1030,1346,timestamp1
20,1308,timestamp1
23,365,timestamp1
79,681,timestamp1
1030,888,timestamp1
1309,899,timestamp1
83,366,timestamp1
47,681,timestamp1
1030,838,timestamp1
1309,557,timestamp1
47,367,timestamp1
83,682,timestamp1
1030,898,timestamp1
1309,407,timestamp1
96,367,timestamp1
20,683,timestamp1
1030,1423,timestamp1
1309,1223,timestamp1
79,367,timestamp1
6,684,timestamp1
1030,970,timestamp1
1309,894,timestamp1
60,368,timestamp1
14,685,timestamp1
1030,1289,timestamp1
1309,655,timestamp1
20,369,timestamp1
33,685,timestamp1
1030,1017,timestamp1
1309,542,timestamp1
45,370,timestamp1
17,686,timestamp1
1030,1323,timestamp1
1309,667,timestamp1
254,371,timestamp1
20,687,timestamp1
1030,770,timestamp1
1309,962,timestamp1
66,372,timestamp1
688,1115,timestamp1
1030,999,timestamp1
1309,800,timestamp1
83,373,timestamp1
688,1,timestamp1
1030,258,timestamp1
1309,543,timestamp1
23,374,timestamp1
20,689,timestamp1
1030,900,timestamp1
1309,999,timestamp1
20,375,timestamp1
58,690,timestamp1
1030,1355,timestamp1
1309,1286,timestamp1
23,376,timestamp1
66,691,timestamp1
1030,757,timestamp1
1309,909,timestamp1
31,377,timestamp1
60,692,timestamp1
1030,1271,timestamp1
1309,809,timestamp1
378,534,timestamp1
23,693,timestamp1
1030,1377,timestamp1
1309,548,timestamp1
17,694,timestamp1
37,695,timestamp1
14,696,timestamp1
123,697,timestamp1
60,698,timestamp1
60,699,timestamp1
60,700,timestamp1
83,701,timestamp1
23,702,timestamp1
23,703,timestamp1
37,704,timestamp1
8,704,timestamp1
169,705,timestamp1
20,706,timestamp1
76,706,timestamp1
31,707,timestamp1
90,708,timestamp1
768,709,timestamp1
60,710,timestamp1
6,711,timestamp1
79,712,timestamp1
169,713,timestamp1
47,714,timestamp1
715,864,timestamp1
715,1424,timestamp1
715,1422,timestamp1
79,716,timestamp1
79,717,timestamp1
14,718,timestamp1
31,718,timestamp1
169,719,timestamp1
31,720,timestamp1
66,721,timestamp1
20,722,timestamp1
17,722,timestamp1
76,722,timestamp1
47,723,timestamp1
66,724,timestamp1
45,725,timestamp1
14,726,timestamp1
31,726,timestamp1
20,727,timestamp1
2,728,timestamp1
79,729,timestamp1
20,730,timestamp1
20,731,timestamp1
79,732,timestamp1
365,733,timestamp1
79,734,timestamp1
47,735,timestamp1
20,736,timestamp1
169,737,timestamp1
20,738,timestamp1
299,739,timestamp1
47,740,timestamp1
96,741,timestamp1
79,741,timestamp1
2,742,timestamp1
90,743,timestamp1
169,744,timestamp1
62,744,timestamp1
705,745,timestamp1
76,746,timestamp1
20,746,timestamp1
123,747,timestamp1
2,748,timestamp1
79,748,timestamp1
264,749,timestamp1
66,750,timestamp1
2,751,timestamp1
20,751,timestamp1
76,751,timestamp1
123,752,timestamp1
8,753,timestamp1
47,754,timestamp1
79,754,timestamp1
365,755,timestamp1
76,756,timestamp1
20,756,timestamp1
2,757,timestamp1
31,758,timestamp1
62,759,timestamp1
85,760,timestamp1
130,761,timestamp1
23,761,timestamp1
72,762,timestamp1
66,763,timestamp1
299,764,timestamp1
20,765,timestamp1
45,766,timestamp1
47,767,timestamp1
47,768,timestamp1
20,769,timestamp1
66,770,timestamp1
123,770,timestamp1
20,771,timestamp1
863,772,timestamp1
47,773,timestamp1
79,773,timestamp1
66,774,timestamp1
123,774,timestamp1
20,775,timestamp1
17,775,timestamp1
76,775,timestamp1
414,776,timestamp1
79,777,timestamp1
719,778,timestamp1
14,779,timestamp1
20,780,timestamp1
781,1392,timestamp1
781,1467,timestamp1
781,400,timestamp1
781,405,timestamp1
781,228,timestamp1
781,222,timestamp1
781,1020,timestamp1
781,1093,timestamp1
781,913,timestamp1
781,1166,timestamp1
781,1419,timestamp1
781,1019,timestamp1
781,1372,timestamp1
781,108,timestamp1
781,360,timestamp1
781,355,timestamp1
781,1462,timestamp1
781,272,timestamp1
781,84,timestamp1
781,425,timestamp1
781,1094,timestamp1
781,354,timestamp1
781,940,timestamp1
781,1334,timestamp1
781,1417,timestamp1
781,1302,timestamp1
62,782,timestamp1
2,783,timestamp1
14,784,timestamp1
130,785,timestamp1
23,785,timestamp1
2,786,timestamp1
787,1104,timestamp1
787,1150,timestamp1
787,1402,timestamp1
787,185,timestamp1
787,43,timestamp1
787,765,timestamp1
787,1099,timestamp1
787,1026,timestamp1
787,1213,timestamp1
787,669,timestamp1
169,788,timestamp1
719,789,timestamp1
20,790,timestamp1
14,791,timestamp1
90,792,timestamp1
793,31,timestamp1
14,793,timestamp1
62,794,timestamp1
66,795,timestamp1
45,796,timestamp1
20,797,timestamp1
795,798,timestamp1
47,0,timestamp1
20,799,timestamp1
800,319,timestamp1
800,1012,timestamp1
800,812,timestamp1
800,168,timestamp1
800,310,timestamp1
800,177,timestamp1
96,38,timestamp1
378,155,timestamp1
1030,943,timestamp1
1309,561,timestamp1
20,39,timestamp1
378,1165,timestamp1
1030,1474,timestamp1
1309,782,timestamp1
76,39,timestamp1
378,453,timestamp1
1030,837,timestamp1
1309,300,timestamp1
55,39,timestamp1
378,537,timestamp1
1030,584,timestamp1
1309,313,timestamp1
17,39,timestamp1
378,831,timestamp1
1030,1076,timestamp1
1309,893,timestamp1
1083,40,timestamp1
378,326,timestamp1
1030,1164,timestamp1
1309,648,timestamp1
23,41,timestamp1
378,626,timestamp1
1030,1262,timestamp1
1309,402,timestamp1
31,42,timestamp1
378,1374,timestamp1
1030,1270,timestamp1
1309,560,timestamp1
33,43,timestamp1
378,596,timestamp1
1030,951,timestamp1
1309,979,timestamp1
2,44,timestamp1
378,210,timestamp1
1030,734,timestamp1
1309,640,timestamp1
299,45,timestamp1
378,649,timestamp1
1030,919,timestamp1
1309,879,timestamp1
70,46,timestamp1
378,599,timestamp1
1030,1065,timestamp1
25,1309,timestamp1
70,47,timestamp1
378,439,timestamp1
1030,19,timestamp1
145,1309,timestamp1
66,48,timestamp1
378,452,timestamp1
1030,1324,timestamp1
251,1309,timestamp1
66,49,timestamp1
378,723,timestamp1
1030,1206,timestamp1
130,1310,timestamp1
264,50,timestamp1
378,454,timestamp1
1030,948,timestamp1
76,1311,timestamp1
45,51,timestamp1
378,131,timestamp1
1030,1055,timestamp1
20,1311,timestamp1
62,52,timestamp1
85,379,timestamp1
1030,782,timestamp1
1275,1312,timestamp1
31,53,timestamp1
20,380,timestamp1
123,1031,timestamp1
2,1313,timestamp1
66,54,timestamp1
17,380,timestamp1
66,1032,timestamp1
264,1314,timestamp1
14,55,timestamp1
37,381,timestamp1
123,1032,timestamp1
14,1315,timestamp1
31,55,timestamp1
8,381,timestamp1
719,1033,timestamp1
31,1315,timestamp1
365,56,timestamp1
14,382,timestamp1
85,1034,timestamp1
20,1316,timestamp1
2,57,timestamp1
20,383,timestamp1
719,1035,timestamp1
66,1317,timestamp1
14,58,timestamp1
17,383,timestamp1
96,1036,timestamp1
2,1318,timestamp1
169,59,timestamp1
76,383,timestamp1
23,1037,timestamp1
2,1319,timestamp1
20,60,timestamp1
85,384,timestamp1
79,1038,timestamp1
72,1320,timestamp1
55,61,timestamp1
8,385,timestamp1
23,1039,timestamp1
55,1321,timestamp1
60,62,timestamp1
90,386,timestamp1
66,1040,timestamp1
23,1322,timestamp1
85,62,timestamp1
2,387,timestamp1
1041,299,timestamp1
6,1323,timestamp1
85,63,timestamp1
96,388,timestamp1
2,1041,timestamp1
42,1324,timestamp1
123,64,timestamp1
169,389,timestamp1
55,1042,timestamp1
2,1325,timestamp1
66,64,timestamp1
11,390,timestamp1
299,1043,timestamp1
20,1326,timestamp1
20,65,timestamp1
2,391,timestamp1
23,1044,timestamp1
83,1327,timestamp1
2,66,timestamp1
60,392,timestamp1
70,1044,timestamp1
83,1328,timestamp1
72,67,timestamp1
66,393,timestamp1
299,1045,timestamp1
14,1329,timestamp1
85,68,timestamp1
66,394,timestamp1
307,1046,timestamp1
55,1330,timestamp1
58,68,timestamp1
365,395,timestamp1
66,1047,timestamp1
20,1331,timestamp1
70,69,timestamp1
47,396,timestamp1
55,1048,timestamp1
6,1332,timestamp1
96,70,timestamp1
